"";"x"
"587";2606,102
"588";2606,419
"589";2606,764
"590";2607,082
"591";2607,427
"592";2607,73
"593";2608,075
"594";2608,378
"595";2608,752
"596";2609,068
"597";2609,421
"598";2609,734
"599";2610,084
"600";2610,368
"601";2610,746
"602";2611,045
"603";2611,409
"604";2611,726
"605";2612,057
"606";2612,356
"607";2612,72
"608";2613,036
"609";2613,382
"610";2613,713
"611";2614,043
"612";2614,347
"613";2614,721
"614";2615,038
"615";2615,383
"616";2615,625
"617";2616,061
"618";2616,378
"619";2616,725
"620";2617,042
"621";2617,387
"622";2617,704
"623";2618,062
"624";2618,365
"625";2618,738
"626";2619,055
"627";2619,4
"628";2619,744
"629";2620,09
"630";2620,393
"631";2620,752
"632";2621,087
"633";2621,432
"634";2621,73
"635";2622,107
"636";2622,41
"637";2622,769
"638";2623,072
"639";2623,431
"640";2623,762
"641";2624,094
"642";2624,397
"643";2624,758
"644";2625,089
"645";2625,434
"646";2625,765
"647";2626,11
"648";2626,441
"649";2626,773
"650";2627,09
"651";2627,449
"652";2627,78
"653";2628,111
"654";2628,428
"655";2628,773
"656";2629,109
"657";2629,44
"658";2629,771
"659";2630,116
"660";2630,434
"661";2630,765
"662";2631,085
"663";2631,43
"664";2631,761
"665";2632,107
"666";2632,424
"667";2632,769
"668";2633,086
"669";2633,446
"670";2633,763
"671";2634,108
"672";2634,439
"673";2634,784
"674";2635,046
"675";2635,448
"676";2635,78
"677";2636,111
"678";2636,442
"679";2636,787
"680";2637,104
"681";2637,449
"682";2637,78
"683";2638,115
"684";2638,403
"685";2638,766
"686";2639,083
"687";2639,442
"688";2639,759
"689";2640,105
"690";2640,435
"691";2640,781
"692";2641,112
"693";2641,444
"694";2641,774
"695";2642,106
"696";2642,437
"697";2642,782
"698";2643,085
"699";2643,43
"700";2643,733
"701";2644,092
"702";2644,395
"703";2644,768
"704";2645,071
"705";2645,417
"706";2645,75
"707";2646,096
"708";2646,385
"709";2646,744
"710";2647,047
"711";2647,42
"712";2647,737
"713";2648,082
"714";2648,417
"715";2648,748
"716";2649,079
"717";2649,424
"718";2649,754
"719";2650,1
"720";2650,389
"721";2650,762
"722";2651,078
"723";2651,41
"724";2651,741
"725";2652,072
"726";2652,375
"727";2652,736
"728";2653,053
"729";2653,412
"730";2653,757
"731";2654,074
"732";2654,433
"733";2654,778
"734";2655,109
"735";2655,472
"736";2655,804
"737";2656,15
"738";2656,467
"739";2656,812
"740";2657,143
"741";2657,474
"742";2657,777
"743";2658,136
"744";2658,468
"745";2658,798
"746";2659,115
"747";2659,404
"748";2659,749
"749";2660,126
"750";2660,457
"751";2660,788
"752";2661,105
"753";2661,464
"754";2661,797
"755";2662,128
"756";2662,445
"757";2662,804
"758";2663,107
"759";2663,484
"760";2663,769
"761";2664,146
"762";2664,464
"763";2664,809
"764";2665,154
"765";2665,485
"766";2665,788
"767";2666,147
"768";2666,478
"769";2666,811
"770";2667,145
"771";2667,462
"772";2667,778
"773";2668,109
"774";2668,44
"775";2668,771
"776";2669,088
"777";2669,433
"778";2669,763
"779";2670,095
"780";2670,425
"781";2670,756
"782";2671,073
"783";2671,432
"784";2671,763
"785";2672,093
"786";2672,425
"787";2672,77
"788";2673,087
"789";2673,432
"790";2673,763
"791";2674,094
"792";2674,425
"793";2674,756
"794";2675,044
"795";2675,417
"796";2675,734
"797";2676,065
"798";2676,396
"799";2676,727
"800";2677,029
"801";2677,394
"802";2677,693
"803";2678,038
"804";2678,341
"805";2678,686
"806";2678,988
"807";2679,347
"808";2679,636
"809";2680,009
"810";2680,326
"811";2680,675
"812";2681,006
"813";2681,337
"814";2681,642
"815";2681,987
"816";2682,304
"817";2682,649
"818";2682,967
"819";2683,311
"820";2683,628
"821";2683,959
"822";2684,262
"823";2684,621
"824";2684,938
"825";2685,282
"826";2685,586
"827";2685,958
"828";2686,276
"829";2686,634
"830";2686,937
"831";2687,282
"832";2687,613
"833";2687,959
"834";2688,277
"835";2688,538
"836";2688,955
"837";2689,3
"838";2689,589
"839";2689,962
"840";2690,279
"841";2690,624
"842";2690,927
"843";2691,272
"844";2691,588
"845";2691,933
"846";2692,236
"847";2692,581
"848";2692,898
"849";2693,243
"850";2693,56
"851";2693,892
"852";2694,18
"853";2694,539
"854";2694,87
"855";2695,215
"856";2695,518
"857";2695,869
"858";2696,167
"859";2696,531
"860";2696,843
"861";2697,192
"862";2697,523
"863";2697,855
"864";2698,173
"865";2698,444
"866";2698,85
"867";2699,195
"868";2699,526
"869";2699,856
"870";2700,174
"871";2700,547
"872";2700,864
"873";2701,194
"874";2701,498
"875";2701,857
"876";2702,174
"877";2702,518
"878";2702,836
"879";2703,17
"880";2703,486
"881";2703,818
"882";2704,121
"883";2704,466
"884";2704,769
"885";2705,114
"886";2705,403
"887";2705,734
"888";2706,051
"889";2706,41
"890";2706,741
"891";2707,072
"892";2707,375
"893";2707,631
"894";2708,023
"895";2708,354
"896";2708,7
"897";2709,018
"898";2709,349
"899";2709,681
"900";2709,997
"901";2710,331
"902";2710,662
"903";2710,979
"904";2711,628
"905";2711,945
"906";2712,276
"907";2712,579
"908";2712,924
"909";2713,242
"910";2713,587
"911";2713,904
"912";2714,236
"913";2714,553
"914";2714,898
"915";2715,215
"916";2715,532
"917";2715,864
"918";2716,209
"919";2716,526
"920";2716,857
"921";2717,175
"922";2717,521
"923";2717,838
"924";2718,183
"925";2718,487
"926";2718,846
"927";2719,136
"928";2719,496
"929";2719,814
"930";2720,159
"931";2720,476
"932";2720,821
"933";2721,138
"934";2721,469
"935";2721,8
"936";2722,145
"937";2722,462
"938";2722,808
"939";2723,124
"940";2723,469
"941";2723,773
"942";2724,132
"943";2724,449
"944";2724,783
"945";2725,114
"946";2725,445
"947";2725,776
"948";2726,093
"949";2726,411
"950";2726,756
"951";2727,073
"952";2727,418
"953";2727,735
"954";2728,067
"955";2728,383
"956";2728,729
"957";2729,046
"958";2729,377
"959";2729,696
"960";2730,027
"961";2730,331
"962";2730,676
"963";2730,993
"964";2731,326
"965";2731,658
"966";2731,992
"967";2732,294
"968";2732,64
"969";2732,957
"970";2733,288
"971";2733,591
"972";2733,936
"973";2734,254
"974";2734,599
"975";2734,93
"976";2735,261
"977";2735,565
"978";2735,924
"979";2736,255
"980";2736,587
"981";2736,89
"982";2737,249
"983";2737,58
"984";2737,911
"985";2738,215
"986";2738,56
"987";2738,877
"988";2739,209
"989";2739,858
"990";2740,148
"991";2740,507
"992";2740,825
"993";2741,156
"994";2741,459
