"";"Time";"exp";"insp";"idx"
"213";2811,309;0;1;28146
"1379";2812,433;1;0;28224
"214";2813,685;0;1;28311
"1380";2815,025;1;0;28404
"215";2816,308;0;1;28493
"1381";2817,624;1;0;28584
"216";2818,837;0;1;28668
"1382";2820,697;1;0;28795
"217";2822,498;0;1;28920
"1383";2823,664;1;0;29001
"218";2824,83;0;1;29082
"1384";2826,243;1;0;29180
"219";2827,41;0;1;29261
"1385";2828,445;1;0;29333
"220";2829,654;0;1;29417
"1386";2830,853;1;0;29500
"221";2832,078;0;1;29585
"1387";2833,277;1;0;29668
"222";2834,486;0;1;29752
"1388";2835,694;1;0;29836
"223";2836,921;0;1;29921
"1389";2838,145;1;0;30006
"224";2839,362;0;1;30090
"1390";2840,57;1;0;30174
"225";2841,765;0;1;30257
"1391";2842,991;1;0;30342
"226";2844,213;0;1;30427
"1392";2845,412;1;0;30510
"227";2846,636;0;1;30595
"1393";2847,849;1;0;30679
"228";2849,115;0;1;30767
"1394";2850,328;1;0;30851
"229";2851,536;0;1;30935
"1395";2852,79;1;0;31022
"230";2853,856;0;1;31096
"1396";2854,723;1;0;31156
"231";2855,629;0;1;31219
"1397";2856,449;1;0;31276
"232";2857,097;0;1;31321
"1398";2857,862;1;0;31374
"233";2858,856;0;1;31443
"1399";2859,705;1;0;31502
"234";2860,532;0;1;31559
"1400";2861,755;1;0;31644
"235";2863,024;0;1;31732
"1401";2864,408;1;0;31828
"236";2868,04;0;1;32062
"1402";2869,669;1;0;32175
"237";2870,922;0;1;32262
"1403";2871,715;1;0;32317
"238";2872,405;0;1;32365
"1404";2873,397;1;0;32434
"239";2874,261;0;1;32494
"1405";2874,908;1;0;32539
"240";2877,302;0;1;32705
"1406";2878,654;1;0;32799
"241";2879,345;0;1;32847
"1407";2880,04;1;0;32895
"242";2880,973;0;1;32960
"1408";2882,371;1;0;33057
"243";2883,74;0;1;33152
"1409";2884,304;1;0;33191
"244";2885,498;0;1;33274
"1410";2886,291;1;0;33329
"245";2886,808;0;1;33365
"1411";2888,231;1;0;33464
"246";2889,817;0;1;33574
"1412";2891,245;1;0;33673
"247";2893,493;0;1;33829
"1413";2894,085;1;0;33870
"248";2895,079;0;1;33939
"1414";2896,417;1;0;34032
"249";2897,271;0;1;34091
"1415";2898,754;1;0;34194
"250";2900,34;0;1;34304
"1416";2901,507;1;0;34385
"251";2902,916;0;1;34483
"1417";2905,367;1;0;34653
"252";2907,036;0;1;34769
"1418";2908,09;1;0;34842
"253";2909,429;0;1;34935
"1419";2910,581;1;0;35015
"254";2911,55;0;1;35082
"1420";2912,744;1;0;35165
"255";2914,447;0;1;35274
"1421";2915,511;1;0;35348
"256";2916,578;0;1;35422
"1422";2917,842;1;0;35510
"257";2919,001;0;1;35590
"1423";2919,808;1;0;35646
"258";2921,189;0;1;35742
"1424";2922,226;1;0;35814
"259";2923,089;0;1;35874
"1425";2924,259;1;0;35955
"260";2924,875;0;1;35998
"1426";2925,683;1;0;36054
"261";2926,724;0;1;36126
"1427";2929,855;1;0;36343
"262";2931,969;0;1;36490
"1428";2934,008;1;0;36631
"263";2935,362;0;1;36725
"1429";2936,286;1;0;36789
"264";2937,481;0;1;36872
"1430";2941,878;1;0;37177
"265";2944,659;0;1;37370
"1431";2948,151;1;0;37612
"266";2951,954;0;1;37876
"1432";2953,121;1;0;37957
"267";2954,054;0;1;38022
"1433";2954,926;1;0;38082
"268";2956,612;0;1;38199
"1434";2957,909;1;0;38289
"269";2959,392;0;1;38392
"1435";2962,27;1;0;38526
"270";2964,188;0;1;38581
"1436";2968,723;1;0;38821
"271";2969,93;0;1;38905
"1437";2971,356;1;0;39004
"272";2972,684;0;1;39096
"1438";2973,882;1;0;39179
"273";2974,932;0;1;39252
"1439";2976,34;1;0;39350
"274";2979,619;0;1;39577
"1440";2980,929;1;0;39668
"275";2982,469;0;1;39775
"1441";2984,602;1;0;39923
"276";2986,471;0;1;40053
"1442";2988,389;1;0;40186
"277";2989,975;0;1;40296
"1443";2992,395;1;0;40464
"278";2994,356;0;1;40600
"1444";2995,549;1;0;40683
"279";2997,576;0;1;40824
"1445";2999,073;1;0;40928
"280";3000,658;0;1;41038
"1446";3002,129;1;0;41140
"281";3003,77;0;1;41254
"1447";3005,671;1;0;41386
"282";3007,698;0;1;41527
"1448";3009,313;1;0;41639
"283";3010,881;0;1;41748
"1449";3012,623;1;0;41869
"284";3015,563;0;1;42073
"1450";3017,967;1;0;42240
"285";3020,531;0;1;42418
"1451";3022,878;1;0;42581
"286";3025,18;0;1;42741
"1452";3027,714;1;0;42917
"287";3030,736;0;1;43127
"1453";3033,04;1;0;43287
"288";3035,781;0;1;43477
"1454";3038,301;1;0;43652
"289";3041,122;0;1;43848
"1455";3043,602;1;0;44020
"290";3046,137;0;1;44196
"1456";3048,412;1;0;44354
"291";3050,728;0;1;44515
"1457";3052,746;1;0;44655
"292";3054,979;0;1;44810
"1458";3057,082;1;0;44956
"293";3059,575;0;1;45129
"1459";3061,348;1;0;45252
"294";3063,266;0;1;45385
"1460";3065,556;1;0;45544
"295";3068,076;0;1;45719
"1461";3069,819;1;0;45840
"296";3071,632;0;1;45966
"1462";3073,147;1;0;46071
"297";3074,876;0;1;46191
"1463";3076,531;1;0;46306
"298";3078,272;0;1;46427
"1464";3079,932;1;0;46542
"299";3081,575;0;1;46656
"1465";3083,218;1;0;46770
"300";3084,987;0;1;46893
"1466";3088,493;1;0;47136
"301";3091,762;0;1;47363
"1467";3094,628;1;0;47562
"302";3097,988;0;1;47795
"1468";3100,176;1;0;47947
"303";3102,799;0;1;48129
"1469";3105,105;1;0;48289
"304";3107,263;0;1;48436
"1470";3108,773;1;0;48541
"305";3111,586;0;1;48736
"1471";3113,931;1;0;48899
"306";3116,644;0;1;49087
"1472";3118,384;1;0;49208
"307";3120,086;0;1;49326
"1473";3121,797;1;0;49445
"308";3123,758;0;1;49581
"1474";3126,118;1;0;49745
"309";3128,599;0;1;49917
"1475";3130,297;1;0;50035
"310";3131,926;0;1;50148
"1476";3133,755;1;0;50275
"311";3135,845;0;1;50420
"1477";3137,557;1;0;50539
"312";3139,406;0;1;50667
"1478";3143,013;1;0;50918
"313";3145,852;0;1;51106
"1479";3146,369;1;0;51142
"314";3147,725;0;1;51236
"1480";3149,175;1;0;51337
"315";3151,551;0;1;51502
"1481";3153,423;1;0;51632
"316";3154,995;0;1;51741
"1482";3155,987;1;0;51810
"317";3157,486;0;1;51914
"1483";3158,912;1;0;52013
"318";3159,359;0;1;52044
"1484";3160,625;1;0;52132
"319";3161,622;0;1;52201
"1485";3163,505;1;0;52332
"320";3165,78;0;1;52490
"1486";3166,989;1;0;52574
"321";3168,23;0;1;52660
"1487";3169,554;1;0;52752
"322";3170,85;0;1;52842
"1488";3172,346;1;0;52946
"323";3174,001;0;1;53061
"1489";3175,59;1;0;53171
"324";3177,315;0;1;53291
"1490";3178,831;1;0;53396
"325";3180,441;0;1;53508
"1491";3182,489;1;0;53650
"326";3184,331;0;1;53778
"1492";3185,931;1;0;53889
"327";3187,441;0;1;53994
"1493";3188,739;1;0;54084
"328";3190,035;0;1;54174
"1494";3192,095;1;0;54317
"329";3194,482;0;1;54483
"1495";3195,739;1;0;54570
"330";3196,932;0;1;54653
"1496";3198,358;1;0;54752
"331";3199,828;0;1;54854
"1497";3201,209;1;0;54950
"332";3202,464;0;1;55037
"1498";3204,094;1;0;55150
"333";3205,893;0;1;55275
"1499";3207,391;1;0;55379
"334";3208,818;0;1;55478
"1500";3210,394;1;0;55587
"335";3211,989;0;1;55698
"1501";3213,644;1;0;55813
"336";3215,318;0;1;55929
"1502";3216,899;1;0;56039
"337";3218,644;0;1;56160
"1503";3220,301;1;0;56275
"338";3221,77;0;1;56377
"1504";3223,11;1;0;56470
"339";3224,642;0;1;56576
"1505";3226,154;1;0;56681
"340";3227,377;0;1;56766
"1506";3228,949;1;0;56875
"341";3230,633;0;1;56992
"1507";3232,035;1;0;57089
